sample_id	subject_id	study_condition	time_months	time_years	taxon	relative_abundance	rel_abund_log10	taxon_short
PRJNA231909.3101336	E003251	T1D	1.47843942505133	0.123203285420945	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	0.0161675895571926	-1.79108618729701	s__Bacteroides_uniformis
PRJNA231909.3101336	E003251	T1D	1.47843942505133	0.123203285420945	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	0.0574004696678514	-1.24100890020916	s__Faecalibacterium_prausnitzii
PRJNA231909.3101336	E003251	T1D	1.47843942505133	0.123203285420945	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	0.00335275544741485	-2.4733047151118	s__Bacteroides_fragilis
PRJNA231909.3101336	E003251	T1D	1.47843942505133	0.123203285420945	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	0.175306986639394	-0.756176002637802	s__Bifidobacterium_bifidum
PRJNA231909.3101336	E003251	T1D	1.47843942505133	0.123203285420945	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	0.010267032061693	-1.98813228858324	s__Bifidobacterium_longum
PRJNA231909.3101336	E003251	T1D	1.47843942505133	0.123203285420945	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae	0.0156662317297485	-1.8047583253032	s__Blautia_wexlerae
PRJNA231909.3101336	E003251	T1D	1.47843942505133	0.123203285420945	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	0.0135398623486674	-1.86806511670971	s__Bacteroides_ovatus
PRJNA231909.3101336	E003251	T1D	1.47843942505133	0.123203285420945	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis	0.00984800015044736	-2.00621117955333	s__Parabacteroides_distasonis
PRJNA231909.3101336	E003251	T1D	1.47843942505133	0.123203285420945	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis	0.0322952665499099	-1.49072667125661	s__Roseburia_intestinalis
PRJNA231909.3101336	E003251	T1D	1.47843942505133	0.123203285420945	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	0	-5	s__Prevotella_copri
